<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
01.09.2020,10:00:00,107933,114984,107933,109653,76
01.09.2020,10:01:00,113893,115033,108260,110409,22
01.09.2020,10:02:00,110410,115232,107957,115218,94
01.09.2020,10:03:00,113598,115291,108048,109899,73
01.09.2020,10:04:00,110591,115233,108021,110062,81
01.09.2020,10:05:00,111528,115296,107976,112773,18
01.09.2020,10:06:00,113202,114968,107996,108713,93
01.09.2020,10:07:00,111955,115279,108043,114511,66
01.09.2020,10:08:00,110115,115214,108185,109553,89
01.09.2020,10:09:00,109941,115227,108122,109316,84
01.09.2020,10:10:00,111931,115289,107968,114438,31
01.09.2020,10:11:00,112552,115247,107940,110223,1
01.09.2020,10:12:00,110891,115118,107976,111427,40
01.09.2020,10:13:00,110843,115283,107980,114402,97
01.09.2020,10:14:00,112678,115186,107918,114419,93
01.09.2020,10:15:00,113212,115229,107959,109791,55
01.09.2020,10:16:00,108458,115286,108133,113593,16
01.09.2020,10:17:00,114695,115162,107981,108348,93
01.09.2020,10:18:00,113218,115285,107946,111889,79
01.09.2020,10:19:00,111295,115091,108009,110875,29
01.09.2020,10:20:00,113209,115240,107969,114073,42
01.09.2020,10:21:00,112192,115212,108121,110431,95
01.09.2020,10:22:00,112649,114767,108221,114551,13
01.09.2020,10:23:00,108975,115235,107902,110469,63
01.09.2020,10:24:00,114099,114894,107992,111473,22
01.09.2020,10:25:00,111885,115129,108026,112742,22
01.09.2020,10:26:00,113429,115204,107927,110493,33
01.09.2020,10:27:00,110228,114979,108019,112027,37
01.09.2020,10:28:00,112042,115297,107914,114274,74
01.09.2020,10:29:00,108497,115263,108115,110397,5
01.09.2020,10:30:00,109333,115264,108182,108182,42
01.09.2020,10:31:00,110849,115085,108068,114957,86
01.09.2020,10:32:00,110108,115163,108167,111990,89
01.09.2020,10:33:00,111256,115256,108173,114675,42
01.09.2020,10:34:00,112478,115023,107938,113006,13
01.09.2020,10:35:00,114337,115290,108126,111305,29
01.09.2020,10:36:00,115127,115187,108192,109714,63
01.09.2020,10:37:00,112809,115291,108137,108716,85
01.09.2020,10:38:00,110868,115210,107944,111999,80
01.09.2020,10:39:00,115110,115214,108403,110066,35
01.09.2020,10:40:00,108852,115185,108146,112197,79
01.09.2020,10:41:00,112996,115234,108161,109205,7
01.09.2020,10:42:00,110128,115107,107960,107960,36
01.09.2020,10:43:00,114488,115281,108097,111142,56
01.09.2020,10:44:00,113400,115259,108050,113010,38
01.09.2020,10:45:00,111692,115229,107903,112782,98
01.09.2020,10:46:00,114959,114959,107944,114258,31
01.09.2020,10:47:00,112366,115203,107919,113485,49
01.09.2020,10:48:00,113212,115255,107976,114708,67
01.09.2020,10:49:00,110416,115157,107988,111523,47
01.09.2020,10:50:00,108280,115277,107939,112961,65
01.09.2020,10:51:00,114363,115172,108019,111273,38
01.09.2020,10:52:00,110549,115102,108086,109880,6
01.09.2020,10:53:00,114979,115241,108359,111194,75
01.09.2020,10:54:00,113390,115145,108138,111426,81
01.09.2020,10:55:00,109270,115044,108405,113496,62
01.09.2020,10:56:00,109262,115245,107963,114336,9
01.09.2020,10:57:00,111422,115174,107952,114364,34
01.09.2020,10:58:00,112453,115289,107997,112781,52
01.09.2020,10:59:00,108564,115235,108045,109675,66
01.09.2020,11:00:00,108560,115297,107901,112787,82
01.09.2020,11:01:00,112632,115295,107903,113681,36
01.09.2020,11:02:00,112752,115252,107922,108362,30
01.09.2020,11:03:00,114548,115058,108101,111300,63
01.09.2020,11:04:00,111410,115105,107965,108005,33
01.09.2020,11:05:00,111775,114737,107996,113054,27
01.09.2020,11:06:00,113884,115156,107991,109863,59
01.09.2020,11:07:00,113068,115261,108043,109129,58
01.09.2020,11:08:00,109008,115264,107956,111128,49
01.09.2020,11:09:00,112226,115255,107947,113816,36
01.09.2020,11:10:00,112207,115287,108337,113267,5
01.09.2020,11:11:00,112322,115284,107920,110618,68
01.09.2020,11:12:00,113397,114986,108029,114843,14
01.09.2020,11:13:00,113330,115090,107927,114613,44
01.09.2020,11:15:00,115235,115235,108047,114972,59
01.09.2020,11:16:00,112928,115287,108002,110170,43
01.09.2020,11:17:00,110334,115180,108041,114498,40
01.09.2020,11:18:00,112017,115097,108021,108847,53
01.09.2020,11:19:00,113522,115283,108114,111229,67
01.09.2020,11:20:00,110977,115203,107984,113634,61
01.09.2020,11:21:00,112490,115299,107917,114144,23
01.09.2020,11:22:00,110387,114994,107981,114933,31
01.09.2020,11:23:00,115216,115288,107940,113276,26
01.09.2020,11:24:00,112339,115250,108112,112602,2
01.09.2020,11:25:00,114947,115093,107936,113059,25
01.09.2020,11:26:00,114203,115194,108058,110266,2
01.09.2020,11:27:00,113057,115282,108009,114431,77
01.09.2020,11:28:00,111492,115220,107904,113870,52
01.09.2020,11:29:00,111780,115275,108051,112161,77
01.09.2020,11:30:00,108979,115180,108017,111227,40
01.09.2020,11:31:00,111963,115223,107944,113642,35
01.09.2020,11:32:00,111717,115215,107999,114557,11
01.09.2020,11:33:00,110568,115214,108041,109813,13
01.09.2020,11:34:00,109755,115199,107977,114167,33
01.09.2020,11:36:00,110510,115297,107991,113832,96
01.09.2020,11:37:00,113081,115263,107927,112980,95
01.09.2020,11:38:00,109359,115188,107912,111499,22
01.09.2020,11:39:00,115142,115256,107982,110018,60
01.09.2020,11:40:00,108989,115153,107911,109018,47
01.09.2020,11:41:00,110742,115230,107923,114154,31
01.09.2020,11:42:00,113856,115201,107965,111519,73
01.09.2020,11:43:00,110650,115297,107916,108299,96
01.09.2020,11:44:00,113375,115286,108159,112229,37
01.09.2020,11:45:00,113532,115146,108148,110770,27
01.09.2020,11:46:00,108338,114755,107929,112428,73
01.09.2020,11:47:00,108201,115277,107927,110539,14
01.09.2020,11:48:00,108576,115110,107946,113129,49
01.09.2020,11:49:00,111785,115158,108125,114895,77
01.09.2020,11:50:00,109137,114951,107933,114703,2
01.09.2020,11:51:00,111220,115207,107921,114345,33
01.09.2020,11:52:00,112950,115205,107913,113010,75
01.09.2020,11:53:00,112053,115282,108182,111346,7
01.09.2020,11:54:00,113532,115164,108023,112371,15
01.09.2020,11:55:00,112351,115277,107970,115063,7
01.09.2020,11:56:00,110293,115270,108018,113296,29
01.09.2020,11:57:00,114324,114829,107913,109350,98
01.09.2020,11:58:00,113179,115265,107943,114677,61
01.09.2020,11:59:00,115082,115274,108011,110843,71
01.09.2020,12:00:00,110929,115196,107986,110045,43
01.09.2020,12:01:00,112636,115214,108074,108509,3
01.09.2020,12:02:00,112407,115291,107955,114117,58
01.09.2020,12:03:00,112139,115281,107987,114091,75
01.09.2020,12:04:00,109082,115279,108143,113435,87
01.09.2020,12:05:00,110277,115240,108040,112080,67
01.09.2020,12:06:00,111044,115109,107936,114063,93
01.09.2020,12:07:00,112843,115147,107999,113515,93
01.09.2020,12:08:00,108445,115266,107953,108417,77
01.09.2020,12:09:00,115282,115282,107942,113279,19
01.09.2020,12:10:00,113278,115123,108103,110421,17
01.09.2020,12:11:00,108196,115248,107997,112326,35
